Date,Price,Open,High,Low,Change %,,,,
"Jun 27, 2019",6.897,6.957,6.957,6.88,-0.52%,Jun,2019,27,
"Jun 26, 2019",6.933,6.917,6.942,6.917,0.74%,Jun,2019,26,
"Jun 25, 2019",6.882,6.838,6.896,6.837,0.45%,Jun,2019,25,
"Jun 24, 2019",6.851,6.84,6.883,6.811,-0.15%,Jun,2019,24,
"Jun 21, 2019",6.861,6.825,6.893,6.825,1.03%,Jun,2019,21,
"Jun 20, 2019",6.791,6.769,6.791,6.734,-0.73%,Jun,2019,20,
"Jun 19, 2019",6.841,6.831,6.849,6.817,0.48%,Jun,2019,19,
"Jun 18, 2019",6.808,6.912,6.92,6.808,-1.77%,Jun,2019,18,
"Jun 17, 2019",6.931,6.933,6.947,6.915,0.17%,Jun,2019,17,
"Jun 14, 2019",6.919,6.993,6.997,6.914,-1.28%,Jun,2019,14,
"Jun 13, 2019",7.009,6.989,7.028,6.965,-0.04%,Jun,2019,13,
"Jun 12, 2019",7.012,7.022,7.025,6.995,-0.36%,Jun,2019,12,
"Jun 11, 2019",7.037,7.083,7.097,7.036,-0.57%,Jun,2019,11,
"Jun 10, 2019",7.077,6.984,7.087,6.983,1.48%,Jun,2019,10,
"Jun 07, 2019",6.974,6.951,6.984,6.948,0.62%,Jun,2019,07,
"Jun 06, 2019",6.931,7.012,7.012,6.876,-1.30%,Jun,2019,06,
"Jun 04, 2019",7.022,6.979,7.024,6.977,0.57%,Jun,2019,04,
"Jun 03, 2019",6.982,6.949,7.001,6.941,-0.71%,Jun,2019,03,
"May 31, 2019",7.032,7.075,7.077,7.03,-1.42%,May,2019,31,
"May 30, 2019",7.133,7.135,7.139,7.127,0.11%,May,2019,30,
"May 29, 2019",7.125,7.127,7.143,7.116,-0.34%,May,2019,29,
"May 28, 2019",7.149,7.177,7.179,7.135,-0.25%,May,2019,28,
"May 27, 2019",7.167,7.226,7.228,7.162,-0.82%,May,2019,27,
"May 24, 2019",7.226,7.22,7.239,7.203,-0.18%,May,2019,24,
"May 23, 2019",7.239,7.232,7.244,7.191,-0.29%,May,2019,23,
"May 22, 2019",7.26,7.302,7.308,7.26,-0.59%,May,2019,22,
"May 21, 2019",7.303,7.293,7.312,7.286,0.23%,May,2019,21,
"May 20, 2019",7.286,7.287,7.309,7.275,-1.03%,May,2019,20,
"May 17, 2019",7.362,7.397,7.397,7.36,-0.20%,May,2019,17,
"May 16, 2019",7.377,7.394,7.402,7.375,-0.03%,May,2019,16,
"May 15, 2019",7.379,7.379,7.384,7.36,0.01%,May,2019,15,
"May 14, 2019",7.378,7.388,7.388,7.348,-0.14%,May,2019,14,
"May 13, 2019",7.388,7.418,7.419,7.385,-0.34%,May,2019,13,
"May 10, 2019",7.413,7.407,7.426,7.403,0.22%,May,2019,10,
"May 09, 2019",7.397,7.387,7.4,7.371,0.30%,May,2019,09,
"May 08, 2019",7.375,7.392,7.392,7.37,-0.09%,May,2019,08,
"May 07, 2019",7.382,7.417,7.424,7.381,-0.16%,May,2019,07,
"May 06, 2019",7.394,7.403,7.403,7.365,-0.04%,May,2019,06,
"May 03, 2019",7.397,7.372,7.401,7.369,0.15%,May,2019,03,
"May 02, 2019",7.386,7.411,7.411,7.386,-0.38%,May,2019,02,
"Apr 30, 2019",7.414,7.395,7.421,7.387,0.08%,Apr,2019,30,
"Apr 26, 2019",7.408,7.436,7.446,7.405,-0.58%,Apr,2019,26,
"Apr 25, 2019",7.451,7.441,7.477,7.441,0.36%,Apr,2019,25,
"Apr 24, 2019",7.424,7.429,7.436,7.421,-0.66%,Apr,2019,24,
"Apr 23, 2019",7.473,7.489,7.495,7.46,-0.01%,Apr,2019,23,
"Apr 22, 2019",7.474,7.455,7.497,7.455,0.73%,Apr,2019,22,
"Apr 18, 2019",7.42,7.412,7.43,7.408,0.41%,Apr,2019,18,
"Apr 16, 2019",7.39,7.39,7.404,7.376,-0.03%,Apr,2019,16,
"Apr 15, 2019",7.392,7.411,7.414,7.387,-0.23%,Apr,2019,15,
"Apr 12, 2019",7.409,7.383,7.41,7.38,0.52%,Apr,2019,12,
"Apr 11, 2019",7.371,7.381,7.381,7.362,0.05%,Apr,2019,11,
"Apr 10, 2019",7.367,7.363,7.379,7.356,-0.09%,Apr,2019,10,
"Apr 09, 2019",7.374,7.411,7.418,7.373,-0.35%,Apr,2019,09,
"Apr 08, 2019",7.4,7.374,7.411,7.374,0.64%,Apr,2019,08,
"Apr 05, 2019",7.353,7.352,7.362,7.316,0.07%,Apr,2019,05,
"Apr 04, 2019",7.348,7.271,7.348,7.229,1.06%,Apr,2019,04,
"Apr 03, 2019",7.271,7.28,7.288,7.255,-0.01%,Apr,2019,03,
"Apr 02, 2019",7.272,7.356,7.356,7.271,-1.01%,Apr,2019,02,
"Mar 29, 2019",7.346,7.329,7.351,7.31,0.31%,Mar,2019,29,
"Mar 28, 2019",7.323,7.319,7.334,7.301,-0.05%,Mar,2019,28,
"Mar 27, 2019",7.327,7.344,7.357,7.323,-0.20%,Mar,2019,27,
"Mar 26, 2019",7.342,7.329,7.343,7.328,-1.73%,Mar,2019,26,
"Mar 25, 2019",7.471,7.471,7.474,7.456,-0.44%,Mar,2019,25,
"Mar 22, 2019",7.504,7.477,7.506,7.474,-0.17%,Mar,2019,22,
"Mar 20, 2019",7.517,7.535,7.544,7.513,-0.25%,Mar,2019,20,
"Mar 19, 2019",7.536,7.494,7.545,7.479,0.75%,Mar,2019,19,
"Mar 18, 2019",7.48,7.477,7.486,7.452,-0.29%,Mar,2019,18,
"Mar 15, 2019",7.502,7.558,7.561,7.5,-0.68%,Mar,2019,15,
"Mar 14, 2019",7.553,7.59,7.59,7.536,0.07%,Mar,2019,14,
"Mar 13, 2019",7.548,7.534,7.553,7.523,0.47%,Mar,2019,13,
"Mar 12, 2019",7.513,7.527,7.536,7.493,0.01%,Mar,2019,12,
"Mar 11, 2019",7.512,7.54,7.542,7.503,-0.27%,Mar,2019,11,
"Mar 08, 2019",7.532,7.565,7.571,7.524,-0.63%,Mar,2019,08,
"Mar 07, 2019",7.58,7.575,7.58,7.561,0.11%,Mar,2019,07,
"Mar 06, 2019",7.572,7.554,7.587,7.548,0.21%,Mar,2019,06,
"Mar 05, 2019",7.556,7.55,7.561,7.53,0.00%,Mar,2019,05,
"Mar 01, 2019",7.556,7.588,7.589,7.545,-0.46%,Mar,2019,01,
"Feb 28, 2019",7.591,7.679,7.679,7.591,-1.06%,Feb,2019,28,
"Feb 27, 2019",7.672,7.608,7.699,7.591,1.12%,Feb,2019,27,
"Feb 26, 2019",7.587,7.624,7.624,7.578,0.04%,Feb,2019,26,
"Feb 25, 2019",7.584,7.591,7.611,7.582,-0.28%,Feb,2019,25,
"Feb 22, 2019",7.605,7.544,7.61,7.544,0.81%,Feb,2019,22,
"Feb 21, 2019",7.544,7.573,7.573,7.543,-0.01%,Feb,2019,21,
"Feb 20, 2019",7.545,7.571,7.572,7.541,-0.46%,Feb,2019,20,
"Feb 18, 2019",7.58,7.601,7.601,7.565,0.04%,Feb,2019,18,
"Feb 15, 2019",7.577,7.539,7.584,7.534,0.74%,Feb,2019,15,
"Feb 14, 2019",7.521,7.485,7.524,7.483,0.74%,Feb,2019,14,
"Feb 13, 2019",7.466,7.469,7.479,7.436,-0.90%,Feb,2019,13,
"Feb 12, 2019",7.534,7.54,7.54,7.51,0.07%,Feb,2019,12,
"Feb 11, 2019",7.529,7.524,7.548,7.509,0.07%,Feb,2019,11,
"Feb 08, 2019",7.524,7.488,7.531,7.459,0.31%,Feb,2019,08,
"Feb 07, 2019",7.501,7.573,7.588,7.47,-0.85%,Feb,2019,07,
"Feb 06, 2019",7.565,7.602,7.602,7.565,-0.66%,Feb,2019,06,
"Feb 05, 2019",7.615,7.669,7.672,7.609,-0.74%,Feb,2019,05,
"Feb 04, 2019",7.672,7.65,7.674,7.632,0.81%,Feb,2019,04,
"Feb 01, 2019",7.61,7.47,7.651,7.425,1.70%,Feb,2019,01,
"Jan 31, 2019",7.483,7.532,7.551,7.482,-0.90%,Jan,2019,31,
"Jan 30, 2019",7.551,7.541,7.556,7.533,0.35%,Jan,2019,30,
"Jan 29, 2019",7.525,7.533,7.551,7.522,-0.21%,Jan,2019,29,
"Jan 28, 2019",7.541,7.558,7.562,7.535,-0.07%,Jan,2019,28,
"Jan 25, 2019",7.546,7.578,7.578,7.524,-0.15%,Jan,2019,25,
"Jan 24, 2019",7.557,7.569,7.604,7.555,-0.26%,Jan,2019,24,
"Jan 23, 2019",7.577,7.52,7.585,7.511,0.58%,Jan,2019,23,
"Jan 22, 2019",7.533,7.552,7.555,7.516,-0.48%,Jan,2019,22,
"Jan 21, 2019",7.569,7.628,7.65,7.545,-0.36%,Jan,2019,21,
"Jan 18, 2019",7.596,7.593,7.609,7.567,0.62%,Jan,2019,18,
"Jan 17, 2019",7.549,7.573,7.587,7.533,-0.19%,Jan,2019,17,
"Jan 16, 2019",7.563,7.479,7.577,7.465,1.20%,Jan,2019,16,
"Jan 15, 2019",7.473,7.472,7.49,7.457,0.57%,Jan,2019,15,
"Jan 14, 2019",7.431,7.474,7.474,7.423,-0.96%,Jan,2019,14,
"Jan 11, 2019",7.503,7.479,7.519,7.449,0.36%,Jan,2019,11,
"Jan 10, 2019",7.476,7.488,7.516,7.466,0.08%,Jan,2019,10,
"Jan 09, 2019",7.47,7.476,7.482,7.444,0.21%,Jan,2019,09,
"Jan 08, 2019",7.454,7.503,7.534,7.439,-0.72%,Jan,2019,08,
"Jan 07, 2019",7.508,7.467,7.519,7.439,0.81%,Jan,2019,07,
"Jan 04, 2019",7.448,7.407,7.475,7.406,0.28%,Jan,2019,04,
"Jan 03, 2019",7.427,7.397,7.433,7.381,0.99%,Jan,2019,03,
"Jan 02, 2019",7.354,7.409,7.415,7.35,-0.86%,Jan,2019,02,
"Jan 01, 2019",7.418,7.401,7.447,7.385,0.65%,Jan,2019,01,
"Dec 31, 2018",7.37,7.368,7.389,7.339,-0.28%,Dec,2018,31,
"Dec 28, 2018",7.391,7.274,7.393,7.266,1.57%,Dec,2018,28,
"Dec 27, 2018",7.277,7.307,7.307,7.235,0.19%,Dec,2018,27,
"Dec 26, 2018",7.263,7.249,7.267,7.228,-0.33%,Dec,2018,26,
"Dec 24, 2018",7.287,7.298,7.306,7.278,0.15%,Dec,2018,24,
"Dec 21, 2018",7.276,7.269,7.316,7.259,0.06%,Dec,2018,21,
"Dec 20, 2018",7.272,7.253,7.275,7.233,0.73%,Dec,2018,20,
"Dec 19, 2018",7.219,7.241,7.288,7.218,-1.72%,Dec,2018,19,
"Dec 18, 2018",7.345,7.427,7.438,7.345,-1.55%,Dec,2018,18,
"Dec 17, 2018",7.461,7.443,7.463,7.423,0.27%,Dec,2018,17,
"Dec 14, 2018",7.441,7.429,7.464,7.425,0.45%,Dec,2018,14,
"Dec 13, 2018",7.408,7.389,7.437,7.382,-0.04%,Dec,2018,13,
"Dec 12, 2018",7.411,7.476,7.479,7.41,-1.55%,Dec,2018,12,
"Dec 11, 2018",7.528,7.695,7.703,7.512,-0.78%,Dec,2018,11,
"Dec 10, 2018",7.587,7.505,7.598,7.493,1.65%,Dec,2018,10,
"Dec 07, 2018",7.464,7.401,7.48,7.389,0.55%,Dec,2018,07,
"Dec 06, 2018",7.423,7.412,7.443,7.371,-0.23%,Dec,2018,06,
"Dec 05, 2018",7.44,7.562,7.573,7.435,-1.77%,Dec,2018,05,
"Dec 04, 2018",7.574,7.618,7.618,7.566,-0.68%,Dec,2018,04,
"Dec 03, 2018",7.626,7.646,7.653,7.616,0.25%,Dec,2018,03,
"Nov 30, 2018",7.607,7.627,7.63,7.596,-0.01%,Nov,2018,30,
"Nov 29, 2018",7.608,7.62,7.62,7.576,-0.47%,Nov,2018,29,
"Nov 28, 2018",7.644,7.688,7.698,7.644,-1.16%,Nov,2018,28,
"Nov 27, 2018",7.734,7.747,7.75,7.713,0.10%,Nov,2018,27,
"Nov 26, 2018",7.726,7.677,7.738,7.677,0.21%,Nov,2018,26,
"Nov 22, 2018",7.71,7.754,7.767,7.704,-1.05%,Nov,2018,22,
"Nov 20, 2018",7.792,7.767,7.795,7.756,0.01%,Nov,2018,20,
"Nov 19, 2018",7.791,7.82,7.836,7.789,-0.31%,Nov,2018,19,
"Nov 16, 2018",7.815,7.775,7.816,7.768,0.76%,Nov,2018,16,
"Nov 15, 2018",7.756,7.736,7.76,7.734,0.30%,Nov,2018,15,
"Nov 14, 2018",7.733,7.724,7.748,7.707,-0.37%,Nov,2018,14,
"Nov 13, 2018",7.762,7.777,7.783,7.757,-0.54%,Nov,2018,13,
"Nov 12, 2018",7.804,7.789,7.821,7.788,0.50%,Nov,2018,12,
"Nov 09, 2018",7.765,7.766,7.781,7.757,-0.40%,Nov,2018,09,
"Nov 06, 2018",7.796,7.801,7.811,7.791,-0.15%,Nov,2018,06,
"Nov 05, 2018",7.808,7.799,7.812,7.791,0.35%,Nov,2018,05,
"Nov 02, 2018",7.781,7.785,7.793,7.752,-0.54%,Nov,2018,02,
"Nov 01, 2018",7.823,7.831,7.84,7.82,-0.38%,Nov,2018,01,
"Oct 31, 2018",7.853,7.881,7.893,7.846,0.24%,Oct,2018,31,
"Oct 30, 2018",7.834,7.825,7.84,7.818,0.31%,Oct,2018,30,
"Oct 29, 2018",7.81,7.836,7.836,7.797,-0.85%,Oct,2018,29,
"Oct 26, 2018",7.877,7.885,7.891,7.861,0.13%,Oct,2018,26,
"Oct 25, 2018",7.867,7.864,7.885,7.845,-0.06%,Oct,2018,25,
"Oct 24, 2018",7.872,7.852,7.878,7.83,-0.28%,Oct,2018,24,
"Oct 23, 2018",7.894,7.937,7.938,7.88,-0.45%,Oct,2018,23,
"Oct 22, 2018",7.93,7.935,7.935,7.892,0.11%,Oct,2018,22,
"Oct 19, 2018",7.921,7.891,7.927,7.88,0.15%,Oct,2018,19,
"Oct 17, 2018",7.909,7.885,7.926,7.863,0.47%,Oct,2018,17,
"Oct 16, 2018",7.872,7.946,7.954,7.87,-0.62%,Oct,2018,16,
"Oct 15, 2018",7.921,7.962,7.983,7.921,-0.79%,Oct,2018,15,
"Oct 12, 2018",7.984,7.971,8.008,7.963,-0.03%,Oct,2018,12,
"Oct 11, 2018",7.986,8.001,8.023,7.978,-0.56%,Oct,2018,11,
"Oct 10, 2018",8.031,8.049,8.071,8.027,-0.56%,Oct,2018,10,
"Oct 09, 2018",8.076,7.989,8.092,7.989,1.28%,Oct,2018,09,
"Oct 08, 2018",7.974,7.989,8.017,7.968,-0.62%,Oct,2018,08,
"Oct 05, 2018",8.024,8.158,8.165,8.024,-1.64%,Oct,2018,05,
"Oct 04, 2018",8.158,8.193,8.21,8.155,0.57%,Oct,2018,04,
"Oct 03, 2018",8.112,8.057,8.115,8.031,1.55%,Oct,2018,03,
"Oct 01, 2018",7.988,7.923,7.997,7.923,-0.45%,Oct,2018,01,
"Sep 28, 2018",8.024,8.042,8.053,8.015,-0.04%,Sep,2018,28,
"Sep 27, 2018",8.027,8.043,8.073,8.024,-0.56%,Sep,2018,27,
"Sep 26, 2018",8.072,8.124,8.124,8.063,-0.65%,Sep,2018,26,
"Sep 25, 2018",8.125,8.131,8.141,8.113,0.04%,Sep,2018,25,
"Sep 24, 2018",8.122,8.094,8.13,8.074,0.57%,Sep,2018,24,
"Sep 21, 2018",8.076,8.031,8.135,8.017,0.02%,Sep,2018,21,
"Sep 19, 2018",8.074,8.124,8.134,8.067,-0.81%,Sep,2018,19,
"Sep 18, 2018",8.14,8.106,8.143,8.043,0.52%,Sep,2018,18,
"Sep 17, 2018",8.098,8.164,8.184,8.09,-0.32%,Sep,2018,17,
"Sep 16, 2018",8.124,8.143,8.148,8.121,-0.04%,Sep,2018,16,
"Sep 14, 2018",8.127,8.093,8.131,8.091,-0.09%,Sep,2018,14,
"Sep 12, 2018",8.134,8.218,8.231,8.121,-0.59%,Sep,2018,12,
"Sep 11, 2018",8.182,8.155,8.189,8.134,0.29%,Sep,2018,11,
"Sep 10, 2018",8.158,8.069,8.158,8.069,1.58%,Sep,2018,10,
"Sep 07, 2018",8.031,8.05,8.05,8.011,-0.31%,Sep,2018,07,
"Sep 06, 2018",8.056,8.038,8.085,8.033,0.09%,Sep,2018,06,
"Sep 05, 2018",8.049,8.043,8.11,8.033,-0.16%,Sep,2018,05,
"Sep 04, 2018",8.062,8.006,8.069,7.986,0.79%,Sep,2018,04,
"Sep 03, 2018",7.999,7.94,8,7.917,0.60%,Sep,2018,03,
"Aug 31, 2018",7.951,7.951,7.958,7.937,0.26%,Aug,2018,31,
"Aug 30, 2018",7.93,7.93,7.941,7.914,0.15%,Aug,2018,30,
"Aug 29, 2018",7.918,7.914,7.92,7.895,0.29%,Aug,2018,29,
"Aug 28, 2018",7.895,7.892,7.921,7.892,0.01%,Aug,2018,28,
"Aug 27, 2018",7.894,7.865,7.898,7.86,0.29%,Aug,2018,27,
"Aug 24, 2018",7.871,7.895,7.9,7.871,-0.10%,Aug,2018,24,
"Aug 23, 2018",7.879,7.878,7.879,7.861,0.66%,Aug,2018,23,
"Aug 21, 2018",7.827,7.834,7.834,7.814,-0.14%,Aug,2018,21,
"Aug 20, 2018",7.838,7.836,7.842,7.826,-0.29%,Aug,2018,20,
"Aug 16, 2018",7.861,7.849,7.876,7.839,0.55%,Aug,2018,16,
"Aug 14, 2018",7.818,7.8,7.824,7.795,-0.06%,Aug,2018,14,
"Aug 13, 2018",7.823,7.807,7.825,7.789,0.89%,Aug,2018,13,
"Aug 10, 2018",7.754,7.743,7.759,7.737,0.12%,Aug,2018,10,
"Aug 09, 2018",7.745,7.754,7.762,7.74,-0.48%,Aug,2018,09,
"Aug 08, 2018",7.782,7.792,7.793,7.776,-0.05%,Aug,2018,08,
"Aug 07, 2018",7.786,7.772,7.787,7.757,0.23%,Aug,2018,07,
"Aug 06, 2018",7.768,7.754,7.773,7.747,0.06%,Aug,2018,06,
"Aug 03, 2018",7.763,7.742,7.771,7.739,0.54%,Aug,2018,03,
"Aug 02, 2018",7.721,7.698,7.732,7.681,0.26%,Aug,2018,02,
"Aug 01, 2018",7.701,7.767,7.841,7.701,-0.91%,Aug,2018,01,
"Jul 31, 2018",7.772,7.797,7.797,7.769,-0.23%,Jul,2018,31,
"Jul 30, 2018",7.79,7.78,7.799,7.776,0.13%,Jul,2018,30,
"Jul 27, 2018",7.78,7.766,7.788,7.762,0.27%,Jul,2018,27,
"Jul 26, 2018",7.759,7.806,7.806,7.756,-0.33%,Jul,2018,26,
"Jul 25, 2018",7.785,7.807,7.811,7.782,0.01%,Jul,2018,25,
"Jul 24, 2018",7.784,7.806,7.815,7.778,-0.33%,Jul,2018,24,
"Jul 23, 2018",7.81,7.788,7.819,7.774,0.32%,Jul,2018,23,
"Jul 20, 2018",7.785,7.787,7.797,7.772,0.00%,Jul,2018,20,
"Jul 19, 2018",7.785,7.782,7.785,7.764,0.43%,Jul,2018,19,
"Jul 18, 2018",7.752,7.725,7.759,7.723,0.08%,Jul,2018,18,
"Jul 17, 2018",7.746,7.763,7.764,7.729,-0.69%,Jul,2018,17,
"Jul 16, 2018",7.8,7.82,7.848,7.797,0.12%,Jul,2018,16,
"Jul 13, 2018",7.791,7.791,7.802,7.77,0.14%,Jul,2018,13,
"Jul 12, 2018",7.78,7.826,7.842,7.778,-1.17%,Jul,2018,12,
"Jul 11, 2018",7.872,7.897,7.914,7.864,-0.35%,Jul,2018,11,
"Jul 10, 2018",7.9,7.907,7.912,7.893,0.13%,Jul,2018,10,
"Jul 09, 2018",7.89,7.871,7.892,7.866,0.25%,Jul,2018,09,
"Jul 06, 2018",7.87,7.89,7.901,7.869,-0.34%,Jul,2018,06,
"Jul 05, 2018",7.897,7.849,7.9,7.841,0.57%,Jul,2018,05,
"Jul 04, 2018",7.852,7.878,7.916,7.836,-0.39%,Jul,2018,04,
"Jul 03, 2018",7.883,7.905,7.906,7.877,-0.37%,Jul,2018,03,
"Jul 02, 2018",7.912,7.889,7.917,7.867,0.11%,Jul,2018,02,
"Jun 29, 2018",7.903,7.922,7.922,7.869,-0.40%,Jun,2018,29,
"Jun 28, 2018",7.935,7.904,7.942,7.9,0.81%,Jun,2018,28,
"Jun 27, 2018",7.871,7.87,7.878,7.857,0.54%,Jun,2018,27,
"Jun 26, 2018",7.829,7.839,7.849,7.807,0.06%,Jun,2018,26,
"Jun 25, 2018",7.824,7.814,7.859,7.805,0.06%,Jun,2018,25,
"Jun 22, 2018",7.819,7.789,7.841,7.771,0.60%,Jun,2018,22,
"Jun 21, 2018",7.772,7.798,7.812,7.769,-0.70%,Jun,2018,21,
"Jun 20, 2018",7.827,7.805,7.85,7.804,-0.46%,Jun,2018,20,
"Jun 19, 2018",7.863,7.921,7.921,7.855,-0.18%,Jun,2018,19,
"Jun 18, 2018",7.877,7.832,7.882,7.818,-0.15%,Jun,2018,18,
"Jun 15, 2018",7.889,7.93,7.943,7.88,-0.70%,Jun,2018,15,
"Jun 14, 2018",7.945,7.946,7.955,7.9,0.19%,Jun,2018,14,
"Jun 13, 2018",7.93,7.966,7.968,7.919,-0.45%,Jun,2018,13,
"Jun 12, 2018",7.966,7.972,7.992,7.965,0.04%,Jun,2018,12,
"Jun 11, 2018",7.963,7.977,8,7.946,0.20%,Jun,2018,11,
"Jun 08, 2018",7.947,7.997,7.997,7.918,-0.58%,Jun,2018,08,
"Jun 07, 2018",7.993,7.939,7.993,7.937,0.96%,Jun,2018,07,
"Jun 06, 2018",7.917,7.852,7.934,7.827,1.06%,Jun,2018,06,
"Jun 05, 2018",7.834,7.86,7.874,7.823,-0.53%,Jun,2018,05,
"Jun 04, 2018",7.876,7.868,7.902,7.852,0.36%,Jun,2018,04,
"Jun 01, 2018",7.848,7.86,7.877,7.848,0.28%,Jun,2018,01,
"May 31, 2018",7.826,7.823,7.851,7.816,0.57%,May,2018,31,
"May 30, 2018",7.782,7.742,7.785,7.721,0.34%,May,2018,30,
"May 29, 2018",7.756,7.761,7.792,7.753,0.22%,May,2018,29,
"May 28, 2018",7.739,7.733,7.774,7.721,-0.71%,May,2018,28,
"May 25, 2018",7.794,7.864,7.888,7.793,-0.98%,May,2018,25,
"May 24, 2018",7.871,7.845,7.884,7.838,0.28%,May,2018,24,
"May 23, 2018",7.849,7.835,7.868,7.827,0.51%,May,2018,23,
"May 22, 2018",7.809,7.818,7.847,7.787,0.00%,May,2018,22,
"May 21, 2018",7.809,7.901,7.901,7.802,-0.33%,May,2018,21,
"May 20, 2018",7.835,7.835,7.835,7.835,0.00%,May,2018,20,
"May 18, 2018",7.835,7.903,7.927,7.76,-0.57%,May,2018,18,
"May 17, 2018",7.88,7.922,7.944,7.879,-0.28%,May,2018,17,
"May 16, 2018",7.902,7.919,7.945,7.871,-0.01%,May,2018,16,
"May 15, 2018",7.903,7.906,7.913,7.814,0.98%,May,2018,15,
"May 14, 2018",7.826,7.72,7.829,7.708,1.29%,May,2018,14,
"May 11, 2018",7.726,7.711,7.757,7.701,0.14%,May,2018,11,
"May 10, 2018",7.715,7.715,7.761,7.715,0.08%,May,2018,10,
"May 09, 2018",7.709,7.652,7.721,7.648,1.70%,May,2018,09,
"May 08, 2018",7.58,7.636,7.655,7.553,-0.55%,May,2018,08,
"May 07, 2018",7.622,7.601,7.655,7.601,-1.37%,May,2018,07,
"May 04, 2018",7.728,7.748,7.759,7.723,-0.08%,May,2018,04,
"May 03, 2018",7.734,7.736,7.746,7.683,0.01%,May,2018,03,
"May 02, 2018",7.733,7.731,7.742,7.702,-0.44%,May,2018,02,
"Apr 27, 2018",7.767,7.746,7.773,7.74,0.15%,Apr,2018,27,
"Apr 26, 2018",7.755,7.749,7.785,7.723,0.22%,Apr,2018,26,
"Apr 25, 2018",7.738,7.714,7.779,7.701,0.72%,Apr,2018,25,
"Apr 24, 2018",7.683,7.738,7.741,7.642,-0.74%,Apr,2018,24,
"Apr 23, 2018",7.74,7.731,7.769,7.672,0.29%,Apr,2018,23,
"Apr 20, 2018",7.718,7.785,7.797,7.655,1.14%,Apr,2018,20,
"Apr 19, 2018",7.631,7.602,7.651,7.588,1.26%,Apr,2018,19,
"Apr 18, 2018",7.536,7.492,7.536,7.478,0.63%,Apr,2018,18,
"Apr 17, 2018",7.489,7.483,7.509,7.471,0.04%,Apr,2018,17,
"Apr 16, 2018",7.486,7.404,7.49,7.404,0.74%,Apr,2018,16,
"Apr 13, 2018",7.431,7.503,7.522,7.423,-0.50%,Apr,2018,13,
"Apr 12, 2018",7.468,7.512,7.527,7.443,-0.90%,Apr,2018,12,
"Apr 11, 2018",7.536,7.423,7.542,7.386,2.13%,Apr,2018,11,
"Apr 10, 2018",7.379,7.247,7.379,7.247,2.12%,Apr,2018,10,
"Apr 09, 2018",7.226,7.204,7.239,7.153,0.71%,Apr,2018,09,
"Apr 06, 2018",7.175,7.146,7.179,7.139,0.67%,Apr,2018,06,
"Apr 05, 2018",7.127,7.306,7.306,7.123,-2.29%,Apr,2018,05,
"Apr 04, 2018",7.294,7.339,7.345,7.291,-0.52%,Apr,2018,04,
"Apr 03, 2018",7.332,7.333,7.367,7.312,-0.89%,Apr,2018,03,
"Mar 28, 2018",7.398,7.313,7.412,7.286,0.89%,Mar,2018,28,
"Mar 27, 2018",7.333,7.371,7.398,7.302,-3.80%,Mar,2018,27,
"Mar 26, 2018",7.623,7.577,7.63,7.574,0.87%,Mar,2018,26,
"Mar 23, 2018",7.557,7.533,7.562,7.521,-0.04%,Mar,2018,23,
"Mar 22, 2018",7.56,7.581,7.615,7.548,-0.28%,Mar,2018,22,
"Mar 21, 2018",7.581,7.66,7.677,7.579,-0.45%,Mar,2018,21,
"Mar 20, 2018",7.615,7.604,7.628,7.595,0.09%,Mar,2018,20,
"Mar 19, 2018",7.608,7.585,7.613,7.542,0.67%,Mar,2018,19,
"Mar 16, 2018",7.557,7.64,7.648,7.557,-1.00%,Mar,2018,16,
"Mar 15, 2018",7.633,7.672,7.711,7.625,-0.68%,Mar,2018,15,
"Mar 14, 2018",7.685,7.646,7.693,7.643,0.42%,Mar,2018,14,
"Mar 13, 2018",7.653,7.607,7.665,7.604,0.31%,Mar,2018,13,
"Mar 12, 2018",7.629,7.697,7.7,7.62,-0.55%,Mar,2018,12,
"Mar 09, 2018",7.671,7.652,7.729,7.634,0.12%,Mar,2018,09,
"Mar 08, 2018",7.662,7.679,7.713,7.652,-0.21%,Mar,2018,08,
"Mar 07, 2018",7.678,7.769,7.769,7.678,-1.25%,Mar,2018,07,
"Mar 06, 2018",7.775,7.8,7.8,7.758,-0.01%,Mar,2018,06,
"Mar 05, 2018",7.776,7.755,7.783,7.741,0.49%,Mar,2018,05,
"Mar 01, 2018",7.738,7.726,7.776,7.696,0.16%,Mar,2018,01,
"Feb 28, 2018",7.726,7.696,7.726,7.673,0.78%,Feb,2018,28,
"Feb 27, 2018",7.666,7.708,7.717,7.657,-0.29%,Feb,2018,27,
"Feb 26, 2018",7.688,7.657,7.708,7.657,0.27%,Feb,2018,26,
"Feb 23, 2018",7.667,7.76,7.76,7.667,-1.02%,Feb,2018,23,
"Feb 22, 2018",7.746,7.816,7.816,7.724,0.47%,Feb,2018,22,
"Feb 21, 2018",7.71,7.677,7.71,7.657,0.55%,Feb,2018,21,
"Feb 20, 2018",7.668,7.606,7.694,7.603,1.12%,Feb,2018,20,
"Feb 18, 2018",7.583,7.583,7.583,7.583,0.08%,Feb,2018,18,
"Feb 16, 2018",7.577,7.576,7.597,7.571,0.12%,Feb,2018,16,
"Feb 15, 2018",7.568,7.567,7.611,7.547,1.03%,Feb,2018,15,
"Feb 14, 2018",7.491,7.453,7.509,7.449,-0.07%,Feb,2018,14,
"Feb 12, 2018",7.496,7.47,7.525,7.449,0.08%,Feb,2018,12,
